2025-Sep-28-00:30:46, Preliminaries complete. Initiating ETL process.
2025-Sep-28-00:30:48, Data extraction complete. Initiating Transformation process.
2025-Sep-28-00:30:48, Data transformation complete. Initiating loading process.
2025-Sep-28-00:30:48, Data saved to csv file.
2025-Sep-28-00:30:48, SQL Connection initiated.
2025-Sep-28-00:30:49, Data loaded to Database as table. Running the query.
2025-Sep-28-00:31:15, Preliminaries complete. Initiating ETL process.
2025-Sep-28-00:31:17, Data extraction complete. Initiating Transformation process.
2025-Sep-28-00:31:17, Data transformation complete. Initiating loading process.
2025-Sep-28-00:31:17, Data saved to csv file.
2025-Sep-28-00:31:17, SQL Connection initiated.
2025-Sep-28-00:31:17, Data loaded to Database as table. Running the query.
2025-Sep-28-00:31:17, Process Complete.
